0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.214326188586762472e-08,1.286186314624773426e-03,-1.436839467218031276e-03,1.506256041731594071e-04,-8.214326188586775707e-08,2.754842009781779116e-08
-1.314285852483071346e-06,5.144719592671029296e-03,-5.747275276027401063e-03,6.021149146751825481e-04,-1.314285852483046783e-06,4.407686811876089853e-07
-6.653425143772173815e-06,1.157536887434395916e-02,-1.293056418952967697e-02,1.352964062911988022e-03,-6.653425143768662017e-06,2.231252273680893905e-06
-2.102685387964816941e-05,2.057723644905876115e-02,-2.298381725264088404e-02,2.399530130690782827e-03,-2.102685387954008462e-05,7.050672889830309461e-06
-5.132863578926480310e-05,3.214799147915800570e-02,-3.589953289224225019e-02,3.734333955776669017e-03,-5.132863578767151379e-05,1.720745728524327798e-05
-1.064107781213754854e-04,4.628280723740769292e-02,-5.166217401543033577e-02,5.343708339589007053e-03,-1.064107781070850367e-04,3.565843823323620182e-05
-1.970653810286968869e-04,6.297302258969515731e-02,-7.024385159022331071e-02,7.204837063050135819e-03,-1.970653809377073066e-04,6.599193620174239000e-05
-3.359933904832127470e-04,8.220456832941547276e-02,-9.159923787884009794e-02,9.282271527924740306e-03,-3.359933900320944918e-04,1.123980151702029339e-04
-5.377554924598193465e-04,1.039562272589140274e-01,-1.156599188891201391e-01,1.152407021416165800e-02,-5.377554906122979702e-04,1.796213901099178735e-04
-8.187015008207485000e-04,1.281978316528737116e-01,-1.423285028138352171e-01,1.385777817716932203e-02,-8.187014943156881207e-04,2.728928924195879913e-04
-1.196876646663135512e-03,1.548885377487794479e-01,-1.714729148029230932e-01,1.618653997701738692e-02,-1.196876626406214155e-03,3.978367923459936030e-04
-1.691906666382493422e-03,1.839753452543692047e-01,-2.029214030184434137e-01,1.838570316058019127e-02,-1.691906609420939026e-03,5.603538018061522685e-04
-2.324868374242905229e-03,2.153920388109869244e-01,-2.364588228543293424e-01,2.030029880525121427e-02,-2.324868227317043994e-03,7.664831672614727791e-04
-3.118157870433765303e-03,2.490587063945136070e-01,-2.718247217212918510e-01,2.174375887701984408e-02,-3.118157518541282269e-03,1.022251481135747842e-03
-4.095373548791208032e-03,2.848819303255703539e-01,-3.087135956785482804e-01,2.249813429293258046e-02,-4.095372758642347628e-03,1.333519878688844583e-03
-5.281234217552493483e-03,3.227556535165276852e-01,-3.467774389381216293e-01,2.231591753742845699e-02,-5.281232541108269590e-03,1.705844097307390424e-03
-6.701552702465761284e-03,3.625626127859692960e-01,-3.856303999862005227e-01,2.092337654964352214e-02,-6.701549319840288156e-03,2.144362501205243892e-03
-8.383281765245905945e-03,4.041761279563036990e-01,-4.248550629658773281e-01,1.802511661526755640e-02,-8.383275239014177302e-03,2.653725146568433613e-03
-1.035464262203679951e-02,4.474619667675551749e-01,-4.640096641230988528e-01,1.330945121065240690e-02,-1.035463052623948610e-02,3.238072555537358996e-03
-1.264533836832369695e-02,4.922799894728363546e-01,-5.026354817056486457e-01,6.454113268154307824e-03,-1.264531674485760808e-02,3.901067058801982630e-03
-1.528684728966219451e-02,5.384853160466516186e-01,-5.402637128568137381e-01,-2.868119750423230203e-03,-1.528680987170271885e-02,4.645973676636875292e-03
-1.831278627254585498e-02,5.859288406762249712e-01,-5.764213392774478750e-01,-1.498420237095978574e-02,-1.831272339826445911e-02,5.475782706332820576e-03
-2.175933358220199024e-02,6.344570211339204402e-01,-6.106357255779893967e-01,-3.021617242505881054e-02,-2.175923070102352488e-02,6.393363104461274697e-03
-2.566570365433188186e-02,6.839109730497346940e-01,-6.424379294319065847e-01,-4.887711639276276498e-02,-2.566553930051814966e-02,7.401634381978087866e-03
-3.007467429421142868e-02,7.341249857941729573e-01,-6.713648872498387821e-01,-7.126769011486665251e-02,-3.007441736613195374e-02,8.503744558376923404e-03
-3.503317879016722147e-02,7.849246412981579768e-01,-6.969607543097995350e-01,-9.767308620722198187e-02,-3.503278492460495941e-02,9.703242021100648082e-03
-4.059299227313638292e-02,8.361247607950865746e-01,-7.187777272654924943e-01,-1.283603346688041713e-01,-4.059239903703952546e-02,1.100422922756193536e-02
-4.681156408535596530e-02,8.875274325036817125e-01,-7.363766767993783491e-01,-1.635758513227616173e-01,-4.681068461452952273e-02,1.241148559181862523e-02
